price,year,kilometers,brand
Rp 75.000.000,2016,95.000-100.000 km,Daihatsu Ayla
Rp 287.000.000,2017,80.000-85.000 km,Toyota Camry
Rp 173.000.000,2021,45.000-50.000 km,Suzuki XL7
Rp 158.000.000,2018,115.000-120.000 km,Toyota Avanza
Rp 204.000.000,2018,35.000-40.000 km,Mitsubishi Xpander
Rp 300.000.000,2016,105.000-110.000 km,Mitsubishi Pajero Sport
Rp 415.000.000,2022,20.000-25.000 km,Toyota Kijang Innova
Rp 240.000.000,2018,55.000-60.000 km,Honda HR-V
Rp 235.000.000,2003,125.000-130.000 km,Land Rover Range rover
Rp 243.500.000,2016,120.000-125.000 km,Honda CR-V
Rp 134.000.000,2019,25.000-30.000 km,Honda Brio Satya
Rp 134.000.000,2019,25.000-30.000 km,Honda Brio Satya
Rp 131.000.000,2016,55.000-60.000 km,Honda Mobilio
Rp 480.000.000,2020,10.000-15.000 km,BMW 320i
Rp 157.000.000,2017,50.000-55.000 km,Suzuki Baleno next-G
Rp 143.000.000,2007,125.000-130.000 km,Toyota Harrier
Rp 335.000.000,2018,35.000-40.000 km,Honda Civic
Rp 225.000.000,2018,105.000-110.000 km,Honda HR-V
Rp 225.000.000,2018,105.000-110.000 km,Honda HR-V
Rp 225.000.000,2018,105.000-110.000 km,Honda HR-V
Rp 348.000.000,2018,45.000-50.000 km,Toyota Voxy
Rp 130.000.000,2014,70.000-75.000 km,Mazda Biante
Rp 205.000.000,2019,60.000-65.000 km,Toyota Yaris
Rp 350.000.000,2017,85.000-90.000 km,Toyota Fortuner
Rp 145.000.000,2014,170.000-175.000 km,Honda CR-V
Rp 285.000.000,2020,40.000-45.000 km,Nissan Serena
Rp 195.000.000,2018,50.000-55.000 km,Daihatsu Terios
Rp 248.000.000,2022,15.000-20.000 km,Hyundai Stargazer
Rp 2.850.000.000,2023,0-5.000 km,Mobil CBU Mobil CBU Lainnya
Rp 295.800.000,2023,0-5.000 km,Hyundai Creta
Rp 135.000.000,2017,85.000-90.000 km,Honda Brio Satya
Rp 270.200.000,2023,0-5.000 km,Hyundai Stargazer
Rp 165.000.000,2009,185.000-190.000 km,Mitsubishi Pajero
Rp 530.000.000,2011,10.000-15.000 km,Mercedes-Benz E250
Rp 450.000.000,2015,20.000-25.000 km,BMW 528i
Rp 850.000.000,2019,25.000-30.000 km,Mercedes-Benz GLE400
Rp 1.187.000.000,2023,0-5.000 km,Hyundai Ioniq
Rp 199.000.000,2023,0-5.000 km,Wuling Air EV
Rp 835.000.000,2008,60.000-65.000 km,Toyota Land Cruiser
Rp 520.000.000,2012,50.000-55.000 km,Mini Coupe
Rp 122.000.000,2017,80.000-85.000 km,Mitsubishi L300
Rp 204.500.000,2019,80.000-85.000 km,Toyota Yaris
Rp 227.000.000,2015,80.000-85.000 km,Honda HR-V
Rp 221.000.000,2017,35.000-40.000 km,Nissan Serena
Rp 14.950.000.000,2023,0-5.000 km,Rolls Royce Ghost
Rp 365.000.000,2020,45.000-50.000 km,Toyota Kijang Innova
Rp 109.000.000,2021,35.000-40.000 km,Toyota Calya
Rp 650.000.000,2015,45.000-50.000 km,Toyota Vellfire
Rp 110.000.000,2014,115.000-120.000 km,Honda Brio
Rp 125.000.000,2019,60.000-65.000 km,Toyota Calya
Rp 240.000.000,2014,125.000-130.000 km,Toyota Kijang Innova
Rp 399.000.000,2017,25.000-30.000 km,Mazda CX-5
Rp 110.000.000,2013,80.000-85.000 km,Mazda 2
Rp 110.000.000,2013,80.000-85.000 km,Mazda 2
Rp 110.000.000,2013,80.000-85.000 km,Mazda 2
Rp 110.000.000,2013,80.000-85.000 km,Mazda 2
Rp 139.000.000,2016,95.000-100.000 km,Toyota Vios
Rp 222.000.000,2016,100.000-105.000 km,Nissan X-Trail
Rp 222.000.000,2016,100.000-105.000 km,Nissan X-Trail
Rp 172.000.000,2019,60.000-65.000 km,Honda Mobilio
Rp 84.000.000,2016,65.000-70.000 km,Daihatsu Ayla
Rp 204.000.000,2018,65.000-70.000 km,Mitsubishi Xpander
Rp 171.000.000,2018,95.000-100.000 km,Honda BR-V
Rp 85.000.000,2015,35.000-40.000 km,Daihatsu Ayla
Rp 106.000.000,2019,75.000-80.000 km,Daihatsu Ayla
Rp 448.000.000,2019,95.000-100.000 km,Toyota Fortuner
Rp 363.000.000,2016,105.000-110.000 km,Mitsubishi Pajero Sport
Rp 203.000.000,2019,35.000-40.000 km,Nissan Livina
Rp 172.000.000,2019,60.000-65.000 km,Honda Mobilio
Rp 131.000.000,2018,20.000-25.000 km,Honda Brio Satya
Rp 172.000.000,2018,10.000-15.000 km,Toyota Yaris
Rp 173.000.000,2019,45.000-50.000 km,Suzuki Ertiga
Rp 248.000.000,2016,85.000-90.000 km,Toyota Kijang Innova
Rp 248.000.000,2016,85.000-90.000 km,Toyota Kijang Innova
Rp 305.000.000,2021,30.000-35.000 km,Toyota Kijang Innova
Rp 100.000.000,2016,45.000-50.000 km,Toyota Agya
Rp 243.000.000,2017,80.000-85.000 km,Toyota Kijang Innova
Rp 1.850.000.000,2023,0-5.000 km,Toyota Lain-lain
Rp 1.070.000.000,2019,15.000-20.000 km,BMW X5
Rp 995.000.000,2022,5.000-10.000 km,Lexus ES300h
Rp 125.000.000,2018,105.000-110.000 km,Honda Brio Satya
Rp 144.000.000,2017,70.000-75.000 km,Suzuki Ertiga
Rp 130.500.000,2017,60.000-65.000 km,Honda Brio
Rp 206.000.000,2018,45.000-50.000 km,Toyota Rush
Rp 185.000.000,2018,50.000-55.000 km,Toyota Yaris
Rp 249.000.000,2015,45.000-50.000 km,BMW X1
Rp 645.000.000,2019,15.000-20.000 km,Mercedes-Benz A200
Rp 295.000.000,2020,30.000-35.000 km,Mazda CX-3
Rp 152.000.000,2022,10.000-15.000 km,Toyota Agya
Rp 283.000.000,2015,70.000-75.000 km,Mitsubishi Pajero Sport
Rp 745.000.000,2022,0-5.000 km,BMW 320i
Rp 465.000.000,2018,10.000-15.000 km,BMW X1
Rp 410.000.000,2018,85.000-90.000 km,Mitsubishi Pajero Sport
Rp 1.150.000.000,2023,0-5.000 km,Mercedes-Benz C300
Rp 369.000.000,2014,45.000-50.000 km,Toyota Harrier
Rp 179.000.000,2013,130.000-135.000 km,Mazda CX-5
Rp 189.000.000,2010,105.000-110.000 km,Mercedes-Benz C250
Rp 269.000.000,2011,80.000-85.000 km,Toyota Alphard
Rp 89.000.000,2003,135.000-140.000 km,Ford Escape
Rp 689.000.000,2014,75.000-80.000 km,Mercedes-Benz S400L
Rp 180.000.000,2019,65.000-70.000 km,Daihatsu Terios
Rp 188.000.000,2018,50.000-55.000 km,Daihatsu Terios
Rp 180.000.000,2018,130.000-135.000 km,Toyota Rush
Rp 202.000.000,2019,70.000-75.000 km,Toyota Rush
Rp 449.000.000,2015,90.000-95.000 km,Lexus NX200t
Rp 385.000.000,2014,45.000-50.000 km,BMW 520d
Rp 158.500.000,2019,85.000-90.000 km,Toyota Avanza
Rp 495.000.000,2021,20.000-25.000 km,Toyota Fortuner
Rp 109.000.000,2004,100.000-105.000 km,BMW 520i
Rp 129.000.000,2009,125.000-130.000 km,Mercedes-Benz B170
Rp 169.000.000,2014,90.000-95.000 km,Mazda Biante
Rp 345.000.000,2019,25.000-30.000 km,Toyota Kijang Innova
Rp 239.000.000,2009,55.000-60.000 km,Toyota Alphard
Rp 139.000.000,2011,135.000-140.000 km,Mazda CX-7
Rp 249.000.000,2012,105.000-110.000 km,Audi Q3
Rp 197.000.000,2018,20.000-25.000 km,Suzuki SX4
Rp 215.000.000,2013,30.000-35.000 km,Mercedes-Benz C200
Rp 520.000.000,2018,5.000-10.000 km,Mercedes-Benz C200
Rp 179.000.000,2010,130.000-135.000 km,Toyota Harrier
Rp 109.000.000,2008,140.000-145.000 km,Ford Escape
Rp 80.000.000,2012,105.000-110.000 km,Kia Picanto
Rp 228.000.000,2016,45.000-50.000 km,Toyota Kijang Innova
Rp 338.000.000,2018,60.000-65.000 km,Toyota Kijang Innova
Rp 115.000.000,2016,100.000-105.000 km,Nissan Grand livina
Rp 138.000.000,2018,60.000-65.000 km,Honda Brio Satya
Rp 128.000.000,2016,95.000-100.000 km,Suzuki Swift
Rp 378.000.000,2017,70.000-75.000 km,Toyota Fortuner
Rp 102.000.000,2017,55.000-60.000 km,Honda Brio Satya
Rp 895.000.000,2019,10.000-15.000 km,Mercedes-Benz E350
Rp 830.000.000,2019,20.000-25.000 km,Mercedes-Benz E350
Rp 440.000.000,2018,25.000-30.000 km,BMW 320i
Rp 175.000.000,2019,30.000-35.000 km,Wuling Cortez
Rp 230.000.000,2017,65.000-70.000 km,Toyota Altis
Rp 230.000.000,2017,65.000-70.000 km,Toyota Altis
Rp 82.000.000,2015,80.000-85.000 km,Daihatsu Gran max
Rp 236.000.000,2016,60.000-65.000 km,Toyota Kijang Innova
Rp 236.000.000,2016,60.000-65.000 km,Toyota Kijang Innova
Rp 820.000.000,2020,0-5.000 km,Mercedes-Benz C300
Rp 101.000.000,2013,80.000-85.000 km,Nissan Grand livina
Rp 101.000.000,2013,80.000-85.000 km,Nissan Grand livina
Rp 145.000.000,2019,190.000-195.000 km,Suzuki Ertiga
Rp 229.000.000,2022,5.000-10.000 km,Suzuki XL7
Rp 184.000.000,2018,25.000-30.000 km,Daihatsu Terios
Rp 232.500.000,2023,10.000-15.000 km,Toyota Avanza
Rp 238.000.000,2022,10.000-15.000 km,Hyundai Stargazer
Rp 264.000.000,2017,110.000-115.000 km,Toyota Kijang Innova
Rp 875.000.000,2020,10.000-15.000 km,BMW 530i
Rp 101.000.000,2016,75.000-80.000 km,Honda Brio
Rp 77.000.000,2004,100.000-105.000 km,Honda Accord
Rp 128.000.000,2018,10.000-15.000 km,Honda Brio Satya
Rp 206.000.000,2018,65.000-70.000 km,Toyota Rush
Rp 1.170.000.000,2021,10.000-15.000 km,BMW X5
Rp 199.000.000,2016,130.000-135.000 km,Hyundai Tucson
Rp 1.250.000.000,2021,0-5.000 km,BMW 320i
Rp 72.000.000,2006,135.000-140.000 km,Toyota Vios
Rp 199.000.000,2013,95.000-100.000 km,Toyota Camry
Rp 355.000.000,2018,40.000-45.000 km,Toyota Voxy
Rp 115.000.000,2018,70.000-75.000 km,Suzuki Ignis
Rp 358.000.000,2018,65.000-70.000 km,Toyota Camry
Rp 110.000.000,2016,25.000-30.000 km,Honda Brio
Rp 190.000.000,2015,80.000-85.000 km,Toyota Kijang Innova
Rp 110.500.000,2017,50.000-55.000 km,Toyota Calya
Rp 203.000.000,2018,35.000-40.000 km,Mazda 2
Rp 101.000.000,2015,55.000-60.000 km,Honda Brio Satya
Rp 275.000.000,2017,90.000-95.000 km,Honda HR-V
Rp 253.000.000,2021,30.000-35.000 km,Mitsubishi Xpander
Rp 196.000.000,2019,5.000-10.000 km,Mitsubishi Xpander
Rp 660.000.000,2018,15.000-20.000 km,BMW 530i
Rp 488.000.000,2016,0-5.000 km,BMW 520i
Rp 94.000.000,2016,40.000-45.000 km,Toyota Agya
Rp 410.000.000,2018,45.000-50.000 km,Volkswagen Tiguan
Rp 470.000.000,2016,60.000-65.000 km,Toyota Harrier
Rp 190.000.000,2007,100.000-105.000 km,Toyota Harrier
Rp 259.000.000,2014,160.000-165.000 km,Toyota Fortuner
Rp 217.000.000,2021,35.000-40.000 km,Toyota Rush
Rp 107.000.000,2017,40.000-45.000 km,Daihatsu Sigra
Rp 121.000.000,2017,90.000-95.000 km,Suzuki Ignis
Rp 325.000.000,2019,45.000-50.000 km,Toyota Voxy
Rp 245.000.000,2010,55.000-60.000 km,Mercedes-Benz E300
Rp 209.000.000,2015,100.000-105.000 km,Honda CR-V
Rp 216.000.000,2019,50.000-55.000 km,Mitsubishi Xpander
Rp 136.000.000,2018,80.000-85.000 km,Nissan Grand livina
Rp 135.500.000,2016,85.000-90.000 km,Toyota Sienta
Rp 108.500.000,2018,65.000-70.000 km,Daihatsu Ayla
Rp 322.000.000,2012,85.000-90.000 km,Toyota Vellfire
Rp 179.000.000,2020,20.000-25.000 km,Honda Brio
Rp 130.000.000,2017,30.000-35.000 km,Nissan Grand livina
Rp 238.000.000,2021,40.000-45.000 km,Toyota Rush
Rp 77.500.000,2017,170.000-175.000 km,Daihatsu Gran max
Rp 720.000.000,2016,25.000-30.000 km,Toyota Alphard
Rp 555.000.000,2023,5.000-10.000 km,Toyota Fortuner
Rp 875.000.000,2012,65.000-70.000 km,Mercedes-Benz E250
Rp 113.000.000,2014,125.000-130.000 km,Daihatsu Xenia
Rp 133.000.000,2011,110.000-115.000 km,Mazda CX-7
Rp 216.000.000,2019,65.000-70.000 km,Honda HR-V
Rp 216.000.000,2019,65.000-70.000 km,Honda HR-V
Rp 173.000.000,2014,85.000-90.000 km,Honda Freed
Rp 152.000.000,2022,10.000-15.000 km,Toyota Agya
Rp 152.000.000,2022,10.000-15.000 km,Toyota Agya
Rp 152.000.000,2022,10.000-15.000 km,Toyota Agya
Rp 193.000.000,2014,30.000-35.000 km,Mazda CX-5
Rp 232.000.000,2016,60.000-65.000 km,Toyota Camry
Rp 138.000.000,2017,20.000-25.000 km,Honda Brio Satya
Rp 222.000.000,2016,100.000-105.000 km,Nissan X-Trail
Rp 685.000.000,2015,10.000-15.000 km,Land Rover Range Rover Evoque
Rp 173.000.000,2018,15.000-20.000 km,Suzuki SX4
Rp 819.999.999,2016,45.000-50.000 km,Mercedes-Benz GLE400
Rp 182.000.000,2021,60.000-65.000 km,Suzuki XL7
Rp 108.000.000,2018,30.000-35.000 km,Nissan March
Rp 188.000.000,2010,85.000-90.000 km,Mitsubishi Pajero Sport
Rp 108.000.000,2013,20.000-25.000 km,Mazda 2
Rp 89.000.000,2019,55.000-60.000 km,Daihatsu Gran max
Rp 148.000.000,2019,30.000-35.000 km,Hyundai i20
Rp 1.075.000.000,2021,25.000-30.000 km,Toyota Alphard
Rp 240.000.000,2022,0-5.000 km,Wuling Air EV
Rp 338.000.000,2018,25.000-30.000 km,Nissan Terra
Rp 2.300.000.000,2018,25.000-30.000 km,Lexus LX570
Rp 750.000.000,2019,25.000-30.000 km,Mercedes-Benz C300
Rp 143.000.000,2022,5.000-10.000 km,Honda Brio Satya
Rp 69.000.000,2016,25.000-30.000 km,Datsun Go Panca
Rp 160.500.000,2019,70.000-75.000 km,Toyota Avanza
Rp 121.000.000,2015,105.000-110.000 km,Suzuki Ertiga
Rp 372.000.000,2016,60.000-65.000 km,Mitsubishi Pajero Sport
Rp 125.000.000,2018,45.000-50.000 km,Suzuki Ignis
Rp 350.000.000,2018,45.000-50.000 km,Mazda 6
Rp 144.000.000,2015,135.000-140.000 km,Toyota Rush
Rp 485.253.100,2023,0-5.000 km,Toyota HILUX
Rp 1.390.000.000,2020,10.000-15.000 km,BMW 730Li
Rp 151.000.000,2018,90.000-95.000 km,Suzuki Ertiga
Rp 177.000.000,2015,35.000-40.000 km,Mazda Biante
Rp 125.000.000,2015,75.000-80.000 km,Suzuki Ertiga
Rp 190.000.000,2016,105.000-110.000 km,Honda HR-V
Rp 139.000.000,2018,45.000-50.000 km,Suzuki APV Arena
Rp 93.000.000,2019,40.000-45.000 km,Datsun Go Panca
Rp 122.000.000,2018,50.000-55.000 km,Toyota Calya
Rp 245.000.000,2013,70.000-75.000 km,BMW X1
Rp 280.000.000,2021,100.000-105.000 km,Isuzu N series
Rp 359.000.000,2015,65.000-70.000 km,BMW 320d
Rp 34.900.000,2000,195.000-200.000 km,Toyota Soluna
Rp 191.000.000,2017,45.000-50.000 km,Mazda Biante
Rp 103.500.000,2013,70.000-75.000 km,Toyota Vios
Rp 145.000.000,2019,35.000-40.000 km,Toyota Vios
Rp 214.000.000,2019,60.000-65.000 km,Toyota Rush
Rp 171.000.000,2018,95.000-100.000 km,Honda BR-V
Rp 239.000.000,2016,90.000-95.000 km,Toyota Kijang Innova
Rp 1.100.000.000,2022,0-5.000 km,Mini 3 Door
Rp 159.000.000,2016,85.000-90.000 km,Toyota Rush
Rp 649.000.000,2022,20.000-25.000 km,Honda Accord
Rp 690.000.000,2016,70.000-75.000 km,Toyota Vellfire
Rp 550.000.000,2018,90.000-95.000 km,Mercedes-Benz GLC-Class
Rp 177.000.000,2022,15.000-20.000 km,Daihatsu Rocky
Rp 595.000.000,2016,25.000-30.000 km,Mini 5 Door
Rp 685.000.000,2018,15.000-20.000 km,Mercedes-Benz GLC200
Rp 185.000.000,2016,40.000-45.000 km,Mitsubishi Outlander Sport
Rp 215.000.000,2022,10.000-15.000 km,Wuling Almaz
Rp 76.000.000,2006,115.000-120.000 km,Honda Jazz
Rp 180.000.000,2019,55.000-60.000 km,Mitsubishi Xpander
Rp 1.190.000.000,2018,10.000-15.000 km,Maserati Ghibli 
Rp 535.000.000,2013,5.000-10.000 km,Land Rover Range Rover Evoque
Rp 490.000.000,2018,45.000-50.000 km,Honda Odyssey
Rp 89.500.000,2019,90.000-95.000 km,Daihatsu Ayla
Rp 150.000.000,2016,30.000-35.000 km,Honda BR-V
Rp 135.000.000,2015,50.000-55.000 km,Honda Mobilio
Rp 179.500.000,2021,40.000-45.000 km,Suzuki Ertiga
Rp 195.000.000,2019,20.000-25.000 km,Nissan Livina
Rp 420.000.000,2019,70.000-75.000 km,Toyota Fortuner
Rp 445.000.000,2018,40.000-45.000 km,BMW 320i
Rp 176.000.000,2018,70.000-75.000 km,Honda BR-V
Rp 104.000.000,2016,30.000-35.000 km,Daihatsu Sigra
Rp 103.000.000,2015,75.000-80.000 km,Toyota Agya
Rp 695.000.000,2021,15.000-20.000 km,Toyota Camry
Rp 168.000.000,2017,50.000-55.000 km,Honda Mobilio
Rp 254.000.000,2022,20.000-25.000 km,Toyota Avanza
Rp 102.000.000,2010,155.000-160.000 km,Daihatsu Terios
Rp 775.000.000,2018,25.000-30.000 km,Mercedes-Benz C200
Rp 324.000.000,2017,75.000-80.000 km,Toyota Kijang Innova
Rp 155.000.000,2017,55.000-60.000 km,Honda Mobilio
